AAB	ABELAG AVIATION
FUF	SERVICIOS AEREOS FUN FLY, S.A. DE C.V.
FUH	JILIN FIRST INTERNATIONAL AVIATION ACADEMY CO., LTD
FUJ	FUJAIRAH AVIATION CENTRE
FUL	FIVE FORTY UGANDA LIMITED
FUM	FUXION LINE MEXICO, S.A. DE C.V.
FUN	FUNTSHI AVIATION SERVICE
FUP	FUMIPALMA
FUS	FUMISOL
FUT	AEREO FUTURO, S.A. DE C.V.
FUU	FLY MY SKY DOO BEOGRAD
FVA	CARDINAL/AIR VIRGINIA (LYNCHBURG, VA)
FVJ	FLY FOR VALUE AVIATION LIMITED (VALUEJET)
FVS	FALCON AVIATION SERVICES
FWA	WISEMAN AVIATION, INC.
FWD	FAIR WIND AIR CHARTER (STUART, FL)
FWI	AIR CARAIBES
FWK	FLIGHTWORKS, INC. (KENNESAW, GA)
FWL	FLORIDA WEST INTERNATIONAL AIRWAYS, INC. (MIAMI, FL)
FWR	FLIGHTAWARE (HOUSTON, TX)
FWY	FLY SELECT AIRWAYS, S.A. DE C.V.
FXA	FLY EXPRESS AIRLINES
FXC	FLEXJET VERTICAL
FXF	VIP AIR CHARTER, INC. (ALCOA, TN)
FXI	FLUGFELAG ISLANDS, AIR ICELAND CONNECT
FXJ	FLEXJET INTERNATIONAL
FXL	FLY EXCELLENT AB
FXP	BUZZ AERO S.R.L.
FXR	K-AIR S.R.L.
FXT	FLEXFLIGHT APS
FXW	ASSOCIATED AIRCRAFT GROUP, INC. (WAPPINGERA FALLS, NY)
FXZ	FLYX AIRLINES
FYA	SERVICIOS AEREOS INTEGRALES S.A. (FLYANT)
FYB	ABSOLUTE FLIGHT SERVICES (PTY) LTD
FYC	FLY CHAM
FYD	FLYING DEVIL SA
FYE	EASY LINK AVIATION SERVICES
FYG	FLYING SERVICE
FYJ	FLYJET SP. Z.O.O.
FYL	FLYING GROUP LUXEMBOURG S.A.
FYN	PT. FLYINDO AVIASI NUSANTARA
FYO	FLY YEMEN AIRLINES
FYS	EUROPEAN FLYERS
FYW	FLYWAYS LINHAS AEREAS LTDA.
FZA	FUZHOU AIRLINES CO. LTD
FZW	FLY AFRICA - ZIMBABWE
GAB	AEROBELL AIRLINES
GAC	GLOBEAIR AG
GAD	SOUTH COAST AVIATION (BOURNEMOUTH) LTD
GAE	SHENZHEN GULF AVIATION CO., LTD.
GAF	GERMAN AIR FORCE
GAG	GREYBIRD AVIATION GROUP
GAH	GA-MA HELICOPTERE
GAI	GELIX AERO
GAJ	GAMA AVIATION, LLC (SHELTON, CT)
GAK	GLOBAL AIR TRANSPORT
GAL	ALIANZA GLANCELOT, C.A. (ALBATROS AIRLINES)
GAM	GERMAN ARMY
GAO	LIAT (2020) LIMITED
GAP	AIR PHILIPPINES CORPORATION
GAR	GLORY AIRLINE
GAS	GALENA AIR SERVICE (GALENA, AK)
GAT	GULF AIR INC. (NEW IBERIA, LA)
GAU	AEROGAUCHO S.A.
GAV	GLOBAL REACH AVIATION
GAW	GLOBAL AIRLIFT LIMITED
GAX	FULL EXPRESS, INC. (SWANTON, OH)
GBA	GULF AIR BAHRAIN B.S.C.
GBB	GLOBAL AVIATION OPERATIONS (PTY) LTD
GBC	GABON AIRLINES CARGO
GBE	GABON EXPRESS
GBF	GLOBAL AVIATION
GBG	GULLIVAIR
GBJ	RPS SYSTEM CO., LTD.
GBK	GABON AIRLINES
GBL	UAB GLOBAL AIRWAYS
GBM	BERIEV AIRCRAFT COMPANY
GBN	ATLANTIC AIRLINES
GBQ	GAMBIA BIRD AIRLINES LIMITED
GBR	RADER AVIATION, INC. (WHITE SULFER SPRINGS, WV)
GBS	GLOBAL AIR SERVICES NIGERIA LTD
GBT	A-JET AVIATION AIRCRAFT MANAGEMENT GMBH
GBX	GB AIRLINK, INC. (FT. LAUDERDALE, FL)
GCA	SUNRISE AIRWAYS DOMINICANA
GCB	LIGNES NATIONALES AERIENNES - LINACONGO
GCC	GENERAL ELECTRIC CAPITAL AVIATION SERVICES
GCF	AERONOR
GCH	GAMA AVIATION SA - SWITZERLAND
GCI	GUARDIA COSTIERA ITALIANA
GCK	GLOCK AVIATION GMBH
GCL	CARGOLOGIC GERMANY GMBH
GCM	COMAIR FLIGHT SERVICES (PTY) LTD
GCN	GULF CENTRAL AIRLINES INC. (MELBOURNE, FL.)
GCO	GEMINI AIR CARGO, LLC
GCR	TIANJIN AIRLINES CO.,LTD
GCS	SKYWAY AIRLINES
GCT	GC AVIATION (HOUSTON, TX)
GCW	FLYGAC A/S
GCY	CHC GLOBAL OPERATIONS INTERNATIONAL
GDA	SEVERN AVIATION LTD
GDB	GENDARMERIE BELGE
GDC	GRAND CHINA AIR CO., LTD
GDE	GREAT DANE AIRLINES A/S
GDG	S.P. AVIATION (HAYWARD, CA)
GDH	GUNEYDOGU HAVACILIK ISLETMESI LTD STD
GDK	GOLDECK-FLUG GES.M.B.H.
GDM	SMALL FLY CO. LTD.
GDR	GADAIR EUROPEAN AIRLINES, S.L.
GDS	STEELMAN AVIATION INC
GDY	LIFEFLIGHT AUSTRALIA PTY LTD
GEA	GLOBAL AVIATION LTD
GEC	LUFTHANSA CARGO AG, FRANKFURT (MAIN)
GEE	AEREO GE, S.A. DE C.V.
GEG	AERONAUTICA VIENTOS DEL NORTE, S.A. DE C.V.
GEL	AIRLINE GEO SKY LLC
GEN	GENSA - GENERAL SERVICES AVIATION
GEO	AMS AIRLINES L.L.C.
GER	GERMAN AIRWAYS GMBH
GES	GESTAIR, S.A.
GET	GET HIGH, UNIPESSOAL LDA
GEX	AERO EXPEDITION LLC
GFA	GULF AIR B.S.C. ( C )
GFC	GAIL FORCE EXPRESS (JANESVILLE, WI)
GFD	GFD GESELLSCHAFT FUER FLUGZIELDARSTELLUNG MBH, HOHN
GFF	GREAT FLIGHT
GFG	SKY GEORGIA
GFI	CARIBBEAN STAR AIRLINES LIMITED
GFM	GRAFAIR FLIGHT MANAGMENT AB
GFN	THE 955 PRESERVATION GROUP
GFO	AEROVIAS DEL GOLFO, S.A. DE C.V.
GFS	GULFSTREAM AIRLINES, INC. (SOUTH WINDSOR, CT)
GFV	GRUPO AERNAUTICO AFA, S.A. DE C.V.
GFY	INTERCEPT AVIATION
GGA	FIRST FLYING SQUADRON, INC.
GGB	GLOBAL AIR
GGC	CARGO 360, INC. (SEATTLE, WA)
GGE	GOBIERNO DE LA REPUBLICA DE GUINEA ECUATORIAL
GGF	GEORGIAN CARGO AIRLINES AFRICA S.A.
GGG	GENESIS GLOBAL AVIATION LTD
GGL	GIRA GLOBO LDA.
GGN	PIVOT AIRLINES
GGO	GO! AVIATION LTD.
GGT	TRANS ISLAND AIRWAYS LTD.
GGW	DUKE ENERGY BUSINESS SERVICES LLC
GHA	GROUP HOLDINGS AVIATION, LLC (FORT WORTH,TX)
GHB	GHANA INTERNATIONAL AIRLINES LIMITED
GHF	GHANA AIRFORCE
GHK	VINTAGE WINGS OF CANADA
GHL	GUILIN GENERAL AVIATION COMPANY, LTD.
GHN	AIR GHANA
GHP	COLVIN AVIATION, INC. (ATHENS, GA)
GHS	GATARI AIR SERVICE, PT.
GHY	GERMAN SKY AIRLINES GMBH, DUESSELDORF
GIA	GARUDA INDONESIA AIRWAYS, PT.
GIB	GR-AVIA-SA
GIC	COMPAGNIE DE BAUXITES DE GUINEE
GID	GRUPO INTEGRACION COMERCIALIZACION Y SERVICIOS, S.A. DE C.V.
GIF	EAGLE AIR GUINEE, S.A.
GIO	GIO D.O.O.
GIP	AIR GUINEE EXPRESS S.A.
GIR	AIR GUINEE INTERNATIONAL
GIS	SOUTH RIVERS AIRLINES
GIU	MANO RIVER AIRLINES
GIW	BRISE AIR
GIX	GALEX-GUINEE
GIY	PROBIZ GUINEE SARL
GJA	1590877AB DBA NORTHSTAR AIR TOURS LTD
GJB	TRANS-AIR-LINK CO. (MIAMI, FL)
GJE	GLOBAL AIR CHARTERS (TETERBORO, NJ)
GJH	GUINEE AIR CARGO S.A.
GJI	GAINJET IRELAND LTD
GJM	AIRHUB AIRLINES LIMITED
GJS	GOJET AIRLINES, LLC. (ST. LOUIS, MO)
GJT	GETJET AIRLINES, UAB
GJW	GLOBAL JET ARUBA V.B.A.
GKA	U S ARMY PARACHUTE TEAM
GKS	HANS AIRWAYS
GKY	GAMA AVIATION (CAYMAN) SEZC
GLA	GREAT LAKES AVIATION LTD (SPENCER, IA)
GLB	GLOBAL AIR COMPANY LIMITED LIABILITY PARTNERSHIP
GLD	GOLDEN STAR AIR CARGO CO. LTD
GLE	GOLIAF AIR
GLF	GULFSTREAM AEROSPACE (SAVANNAH, GA)
GLG	AVIANCA-ECUADOR
GLH	CHEVRON CORPORATION
GLJ	GLOBAL JET AUSTRIA GMBH
GLK	ASPAN AIRLINES JSC
GLL	AIR GEMINI, LDA
GLM	AERO SERVICES MALI
GLO	GOL LINHAS AEREAS S.A.
GLP	GLOBUS
GLQ	EL QUILADA INTERNATIONAL AVIATION CO. LTD
GLR	CENTRAL MOUNTAIN AIR LTD
GLS	RAF GLIDING SQUADRON (CONVENTIONAL)
GLT	AERO CHARTER, INC. (CHESTERFIELD, MO)
GLU	GREAT LAKES AIRWAYS (U) LTD
GLV	GLOBAL AVANTI
GLX	GELIX AIRLINES
GLY	GALAXY AVIATION (PVT) LTD
GMA	GAMA AVIATION LTD
GMC	GENERAL MOTORS CORPORATION (YPSILANTI, MI)
GMD	GULF MED AVIATION SERVICES LTD.
GME	GM HELICOPTERS 102 NE CO., LTD
GMG	GM HELICOPTERS
GMH	HUGHES FLYING SERVICE, INC. (MIAMI,FL)
GMI	GERMANIA FLUGGESELLSCHAFT MBH, KOELN
GMJ	GAMISA AVIACION, S.L.
GML	G & L AVIATION
GMM	AEROTAXIS GUAMUCHIL, S.A. DE C.V.
GMN	GARMIN, INC.
GMQ	GERMANIA EXPRESS FLUGGESELLSCHAFT MBH, SCHOENEFELD
GMR	GOLDEN MYANMAR AIRLINES, PUBLIC COMPANY LTD
GMS	GHADAMES AIR
GMT	GRUPOAEREO MONTERREY, S.A. DE C.V.
GMX	GOLDEN AVIATION DE MEXICO, S.A. DE C.V.
GNA	SERVICIOS AEREOS GANA, S.A. DE C.V.
GNC	GUINEA CARGO
GND	GRAND AIRWAYS, INC. (LAS VEGAS, NV)
GNF	GREEN FLAG AVIATION CO.LTD
GNJ	GAIN JET AVIATION S.A.
GNR	GAMBIA INTERNATIONAL AIRLINES LTD
GNX	GENEX LTD
GNY	GERMAN NAVY
GNZ	GENERAL AVIATION SERVICES LTD.
GOA	JUST UDO AVIATION PRIVATE LIMITED
GOB	DASH AVIATION LTD
GOC	GEOCUBA
GOF	GOF-AIR, S.A. DE C.V.
GOJ	EUROJET AVIATION LTD
GOL	CARGOLAAR CC
GOM	GOMEL AIRLINES
GOP	GOSPA AIR, S.A.DE C.V.
GOS	GOLDEN SKY AIRLINE
GOT	WALTAIR I LINKOPING AB
GOW	GO AIRLINES (INDIA) PRIVATE LIMITED
GOZ	GROZNYY AVIA JSC
GPA	KINGMAN AVIATION, INC. D/B/A GOLDEN PACIFIC AIRLINES (KINGMAN, AZ)
GPC	GULF PEARL AIR LINES
GPD	TRADEWIND AVIATION LLC (OXFORD, CT)
GPH	MYASISCHEV PILOT ENGINEERING PLANT
GPL	GESPLANE SERVICIOS AEREOS, S.L.
GPM	GRUP AIR-MED S.A.
GPO	NORTHERN AVIATION LTD
GPR	GPM AEROSERVICIO, S.A. DE C.V.
GPX	GP AVIATION LTD.
GRA	GUARDIAN AIR ASSET MANAGEMENT (PTY) LTD
GRB	PHOENIX AIR GROUP, INC. (CARTERSVILLE, GA)
GRC	GRACE FLIGHT OF AMERICA (ADDISON,TX)
GRD	NATIONAL GRID CO
GRE	GREENLANDCOPTER A/S
GRF	GRYPHON AIRLINES SA (PTY) LTD
GRG	GRYPHON AIR CARGO LLC
GRL	AIR GREENLAND A/S
GRM	ARIZONA STATE GOVERNMENT, COCHISE COUNTY SHERIFF
GRN	GRANDE AVIATION
GRO	GRYPHON AIR SRL
GRP	GRYPHON AIR, LLC
GRR	AGROAR - TRABALHOS AEREOS LDA.
GRV	EPSILON AVIATION S.A.
GRX	AIRCOMPANY GRODNO
GRY	NEW YORK STATE POLICE (ALBANY, NY)
GRZ	GOVERNMENT OF ZAMBIA COMMUNICATIONS FLIGHT (AIRCRAFT)
GSA	GARDEN STATE AIRLINES, INC. (SHREWSBURY, NJ)
GSB	GADING SARI AVIATION SERVICES SDN BHD
GSC	GRANDSTAR CARGO INTERNATIONAL AIRLINES CO., LTD
GSF	AERONAVES EJECUTIVAS GSF, S.A. DE C.V.
GSH	GAMA AVIATION FZC
GSI	GOVERNMENT OF THE REPUBLIC OF SLOVENIA
GSJ	G-JET
GSK	GLOBAL SKY AIRCHARTER CORPORATION (FT. LAUDERDALE, FL)
GSL	GEOGRAPHIC AIR SURVEYS LTD.
GSM	GESTAIR AVIATION MALTA
GSN	GEOSAN LLC
GSO	GLOBAL FLIGHT SOLUTIONS LTD
GSP	GLOBAL FLIGHT SCHOOL
GSS	GSS AIRLINE S.R.L
GST	GLOBAL SUPERTANKER
GSW	CHAIR AIRLINES AG
GSY	DEVINAIRE, LLC
GTA	CITY AIRWAYS CO. LTD
GTC	ALTIN HAVAYOLU TASIMACILIGI TURIZM VE TICARET A.S.
GTF	ELJ AVIATION LLC (SANFORD,FL)
GTH	GENERAL AVIATION FLYING SERVICES (TETERBORO, NJ)
GTI	ATLAS AIR, INC. (JAMAICA, NY)
GTP	AEROTAXI GRUPO TAMPICO, S. A. DE C.V.
GTR	GALISTAIR TRADING LIMITED
GTS	GROUPE TRANSAIR
GTV	EMPRESA DE AVIACION AEROGAVIOTA, S.A.
GTW	AMERICAN AIR CHARTER, INC. (CHESTERFIELD, MO)
GTX	GTA AIR, INC. (LANCASTER, TX)
GUA	AEROTAXIS DE AGUASCALIENTES, S.A. DE C.V.
GUC	PUER GENERAL AVIATION CO., LTD
GUE	AERO SERVICIO GUERRERO, S.A. DE C.V.
GUG	EMPRESA GUATEMALTECA DE AVIACION (AVIATECA)
GUJ	GUJARAT AIRWAYS
GUL	GULL AIR (SO. YARMOUTH, MA)
GUM	GUM AIR N.V.
GUN	GRANT AVIATION, INC. (ANCHORAGE, AK)
GUS	GUJA, S.A. DE C.V.
GUY	AIR GUYANE SP.
GVA	GRUPO AERONAUTICO OVA, S.A. DE C.V.
GVN	GAVINA
GWA	GREAT WESTERN AIR, INC. (SAN DIEGO, CA)
GWC	GULF WINGS
GWG	GREEN AFRICA AIRWAYS LIMITED
GWH	GULF WING AVIATION LTD
GWI	GERMANWINGS GMBH, KOELN
GWL	GREAT WALL AIRLINES CO., LTD
GWN	GEWAN AIRWAYS
GWR	AURA AIRLINES SL (GOWAIR)
GWS	GENERAL AIRWAYS
GWW	GLOBAL WINGS SEZC LTD
GWY	USA 3000 AIRLINES (NEWTOWN SQUARE, PA)
GWZ	GOLDEN WINGS CHARTER (BAHAMAS)
GXA	GLOBAL CROSSING AIRLINES
GXL	XL AIRWAYS GERMANY GMBH, MOERFELDEN-WALLDORF
GYG	SERVICEAIR
GYP	EAGLE AVIATION
GYR	SNCF SURETE
GZP	GAZPROMAVIA
GZR	AEROMANAGEMENT GROUP
HAA	HELICOPTEROS AGROFORESTAL LTDA.
HAC	HELI SKY
HAD	HAITI AVIATION S.A. D/B/A AIR D'AYITI
HAE	KENMORE CREW LEASING, INC. (KENMORE,WA)
HAF	HELLENIC AIR FORCE
HAG	HAGELAND AVIATION SERVICES, INC. (ANCHORAGE, AK)
HAH	HANHWA BUSINESS JET AIRLINES CO., LTD
HAI	HAI AU AVIATION JOINT STOCK COMPANY
HAJ	AVIC JOY GENERAL AVIATION CO., LTD.
HAK	PEGASUS HELICOPTER AS
HAL	HAWAIIAN AIRLINES
HAN	AUSHAANAIR LIMITED
HAO	HARTY AVIATION
HAP	HELICOPTEROS AERO PERSONAL, S.A. DE C.V.
HAR	HARBOR AIRLINES (OAK HARBOR, WA)
HAS	AEROCARIBE DE HONDURAS, S. DE R.L. (HONDURAS AIR)
HAT	AIR HORIZONT
HAU	SKYHAUL PTY LTD
HAV	HAVILAH AIR SERVICES
HAW	BANGKOK AVIATION CENTER CO., LTD
HAX	BENAIR AS
HAY	HAYA AVIATION SERVICES LIMITED
HBA	TRAIL LAKE FLYING SERVICE, INC. D/B/A HARBOR AIR (SEWARD, AK)
HBC	HAITIAN AVIATION LINE S.A.
HBN	HIBERNIAN AIRLINES
HBR	HEBRIDEAN AIR SERVICES
HBT	POLIZEIHUBSCHRAUBERSTAFFEL THUERINGEN, ERFURT
HCA	LAKE HAVASU AIR SERVICE (LAKE HAVASU CITY, AZ)
HCB	HELENAIR (BARBADOS)
HCC	HELI AND CO S.A.
HCF	HELICOPTERFLIGHTS LTD
HCH	HELICOPTEROS DEL CARIBE, C.A. (HELICA)
HCK	HELI-CHARTER LTD
HCL	HELENAIR CORPORATION LIMITED
HCO	HEAVY LIFT CONGO
HCP	HELICOPTER
HCR	1903 AVIATION
HCS	HELICHARTER WALES LTD
HCT	CAT HELICOPTERS S.L.
HCV	HALCYON AIR CABO VERDE
HCX	AEROCOM AVIATION OY
HDA	HONG KONG DRAGON AIRLINES (HDA)
HDB	HELIDUBAI
HDC	HELICOPTEROS DE CATALUNA, S.A.
HDI	HOTELES DINAMICOS, S.A. DE C.V.
HDL	HENDELL AVIATION OY
HDM	HARLEY-DAVIDSON MOTOR COMPANY
HDR	HELITRANS AS
HDT	HADHRAMOUT AIRWAYS
HEA	HELIAVIA-TRANSPORTE AEREO, LDA
HEB	HELI BERNINA AG
HEC	HELISERVICIO CAMPECHE, S.A. DE C.V.
HED	HERITAGE AVIATION DEVELOPMENTS LTD
HEE	HELIEJECUTIVO, S.A. DE C.V.
HEI	RICARDO HEIN B. (AEROHEIN LTDA.)
HEL	HELICOL. HELICOPTEROS NACIONALES DE COLOMBIA
HEM	HELICO DE MEXICO SA DE CV
HEN	HELICOPTEROS Y VEHICULOS NACIONALES AEREOS, S.A. DE C.V.
HEP	OSLO POLITIDISTRIKT, HELIKOPTERTJENESTEN
HER	HERA FLIGHT
HES	HOLIDAY EUROPE
HET	TAF HELICOPTERS S.A.
HEV	HELICOPTEROS EJECUTIVOS, S.A DE C.V.
HEW	ASA HELI-WATER SP. Z.O.O.
HEX	HONIARA CARGO EXPRESS
HEY	ZONDAJET.COM SP. Z O.O.
HEZ	ARROW AVIATION LTD
HFA	AIR HAIFA LTD.
HFD	BLUE CITY AVIATION LTD
HFJ	SHENZHEN UNITED BUSINESS JET CO., LTD
HFL	LEAF - LEASE & FLY LTD
HFM	HI FLY LTD
HFR	HELI FRANCE
HFY	SPRINGJET S.A.
HGA	HALLA AIRLINES LTD
HGB	GREATER BAY AIRLINES COMPANY LIMITED
HGD	KOREA AEROSPACE UNIVERSITY
HGE	MARTIN'S FAMOUS PASTRY SHOPPE, INC. (CHAMBERSBURG, PA)
HGG	HI AIR
HGH	HENLEY AIR PTY LTD
HGK	FIKA SALAAMA AIRLINES LTD
HGM	PRIMA AIR SDN. BHD
HGO	ONE AIR LIMITED
HGR	HANGAR 8 LTD
HGT	GMJ AIR SHUTTLE, LLC (MCCLELLAN, CA)
HHA	ATLANTIC AIRLINES DE HONDURAS, S. DE R.L.
HHE	HELI-HOLLAND B.V.
HHG	HANERGY JET CO., LTD
HHH	H H HELICOPTERS LTD
HHI	HAMBURG INTERNATIONAL
HHN	HAHN AIR-LINES GMBH, DREIEICH
HHP	HELENIA HELICOPTER SERVICE APS
HHS	HI-JET HELICOPTER SERVICES N.V.
HIA	HELICOPTERS OF AMERICA, S.A. DE C.V.
HIB	HELIBRAVO AVIACAO, LDA.
HIF	HELI-IBERICA FOTOGRAMETRIA S.L.
HIL	HELI-ALPES SA
HIM	HIMALAYA AIRLINES PVT. LTD.
HIN	HOLDING INTERNATIONAL GROUP, S.A. DE C.V.
HIP	STARSHIP, S.A. DE C.V.
HJA	AIR HAITI
HJE	SERVICIOS EJECUTIVOS GOSA, S.A. DE C.V.
HJI	SHIV AIR LIMITED
HJL	HAMLIN JET LTD
HJT	HELIJETIC AIR
HKA	SUPERIOR AVIATION,INC.(IRON MOUNTAIN/KINGSFORD,MI)
HKB	HAWKER BEECHCRAFT CORPORATION (WICHITA,KS)
HKC	HONG KONG AIR CARGO CARRIER
HKE	HONG KONG EXPRESS AIRWAYS LTD
HKG	GOVERNMENT FLYING SERVICE OF THE HONG KONG SPECIAL ADMINISTRATIVE REGION
HKH	AIR-INVEST LTD
HKI	WACHOVIA FLIGHT OPERATIONS D/B/A HAWKAIRE (CHARLOTTE, NC)
HKJ	HONGKONG JET
HKL	HAK AIR LIMITED
HKN	JIM HANKINS AIR SERVICE, INC. (JACKSON, MS)
HKR	TOWER AVIATION MANAGEMENT LLC  DBA  A2V
HKS	CHC HELIKOPTER SERVICE AS
HKV	INVERSIONES HUCAVEN C.A.
HKW	NORTHWESTERN MICHIGAN COLLEGE
HKY	UNITED STATES GOVERNMENT, DEPARTMENT OF STATE INL/A
HLA	HELLENIC ARMY
HLC	HELICAP
HLE	UK HEMS
HLF	CENTRAL AIRLINES CO., LTD
HLG	HELICAPITAL
HLH	HALA AIR CO.
HLI	HELI SECURITE
HLJ	HELLO JETS S.R.L
HLK	HELI-LINK HELIKOPTER AG
HLL	HELICENTRE LIVERPOOL LTD
HLM	HELI MIDWEST DE MEXICO, S.A. DE C.V.
HLP	HELIPISTAS S.L.
HLR	HELI AIR SERVICES
HLT	HELITAFE, S.A. DE C.V.
HLU	HELI UNION HELI PRESTATIONS
HLV	HELISERVICIO, S.A. DE C.V.
HLW	HELIWORKS LTDA.
HLY	HELI AIR LTD
HMB	CHC GLOBAL OPERATIONS
HMC	HELIAMERICA DE MEXICO, S.A. DE C.V.
HMD	CHARLIE HAMMONDS FLYING SERVICE, INC. (HOUMA, LA)
HME	HERMES AVIATION
HMF	SJOFARTSVERKET
HMJ	AS AILES LIMITED
HML	HAMSAL AIR SERVICES LIMITED
HMO	HELICOPTER OPERATIONS MEXICO, S. DE R.L. DE C.V.
HMP	PAPAIR TERMINAL S.A.
HMR	GLOBAL REACH AVIATION
HMS	HEMUS AIR
HMX	HAWK DE MEXICO, S.A. DE C.V.
HMZ	ZAFER HAVACILIK A.S (ZAFER AVIATION)
HNA	GREEK NAVY (HELLENIC NAVY)
HND	HINTERLAND AVIATION PTY LTD
HNJ	SOUTHERN JET CO, LTD
HNL	CHC HELICOPTERS NETHERLANDS
HNR	HAITI NATIONAL AIRLINES (HANA)
HNW	HONEYWELL INTERNATIONAL INC.
HNX	HAINAN AVIATION ACADEMY CO. LTD.
HOA	BALEARES LINK EXPRESS S.L.
HOB	HL AIRCRAFT LLC
HOD	ALHODHOD AIRLINE
HOG	MAHOGANY AIR CHARTERS
HOL	HOLIDAY AIRLINES, INC. (MORRISTOWN, NJ)
HOM	AERO HOMEX, S.A. DE C.V.
HON	HONDA AIRCRAFT COMPANY, INC. (GREENSBORO,NC)
HOP	HOP!
HOT	VALLETTA AIRLINES
HOV	HOVERFLY DIVISIONE SAM S.R.L.
HOZ	HOZCA AVIATION S.A. DE C.V.
HPA	PEARL AIRWAYS COMPAGNE HAITIENNE
HPE	IMPERATIVE PRODUCTIONS, LLC
HPJ	HOP-A-JET, INC. (FT. LAUDERDALE, FL)
HPK	HOPSCOTCH AIR, INC. (FARMINGDALE, NY)
HPL	HELIPORTUGAL - TRABALHOS E TRANSPORTE AEREO, REPRESENTACOES, IMPORTACAO E EXPORTACAO, LDA
HPN	AIRDIALOG
HPO	ALMIRON AVIATION LTD
HPP	AVIATION PARTNER OF BOYTON BEACH, LLC D/B/A EXJET AVIATION
HPR	RICK LUCAS HELICOPTERS LTD
HPS	HORIZON PLUS LIMITED
HPY	HAPPY AIR TRAVELLERS CO., LTD
HRA	HELI-IBERICA, S.A.
HRB	HAITI INTERNATIONAL AIRLINE
HRC	HARCO AVIATION (HOUSTON,TX)
HRD	MARSHALL UNIVERSITY BILL NOE FLIGHT SCHOOL
HRE	FFH SUEDWESTDEUTSCHE VERKEHRSFLIEGERSCHULE,FREIBURG
HRF	VETERANS AIRLIFT COMMAND (ST.LOUIS PARK,MN)
HRM	HERMES AIRLINES S.A.
HRN	HERON LUFTFAHRT GMBH & CO. KG, WALDSHUT-TIENGEN
HRS	PURSUIT AVIATION
HRT	CHARTRIGHT AIR INC.
HRV	AIRINTER1
HRZ	CROATIAN AIR FORCE (HRVATSKO RATNO ZRAKOPLOVSTVO)
HSA	EAST AFRICAN SAFARI AIR LIMITED
HSE	HELISCAN AS
HSF	HANSEO UNIVERSITY
HSG	HESNES AIR AS
HSH	HISPANICA DE AVIACION S.A.
HSI	SWISS HELICOPTER AG
HSJ	HEBEI HONGSHENG JET CO., LTD
HSK	HALLA SKY AIR
HSM	HELICOPTER SERVICE MALTA LIMITED
HSN	H.S AVIATION CO, LTD
HSO	HELI SERVICE INTERNATIONAL GMBH, BREMERHAVEN
HSR	HELISTAR
HSS	COMPANIA TRANSPORTES AEREOS DEL SUR, S.A.
HST	HESTON AIRLINES, UAB
HSU	HELISUL
HSV	HELISERVICES (HK) LTD
HSW	HELISWISS IBERICA, S.A.
HSY	SKY HELICOPTEROS S.A.
HTA	HELI TRANSAIR EUROPEAN AIR SERVICES GMBH
HTB	HELIX-CRAFT AVIATION
HTC	HAITI TRANS AIR S.A.
HTE	MIDWEST HELICOPTERS DE MEXICO, S.A. DE C.V.
HTG	GROSSMANN AIR SERVICE BEDARFSLUFTFAHRTSUNTERNEHMEN GMBH & CO. KG.
HTH	HELITT LINEAS AEREAS, S.A.
HTI	HAITI INTERNATIONAL AIR S.A.
HTK	NINGXIA CARGO AIRLINES CO. LTD.
HTL	MY FAIR JET GMBH
HTM	HTM HELICOPTER TRAVEL MUNICH GMBH, MUENCHEN
HTP	HALA AIR
HTR	HOLSTENAIR, LUFTVERKEHRSSERVICE GMBH & CO. BETRIEBS-KG, LUEBECK
HTS	HELISTAR SAS
HTT	LATITUDE AIR AMBULANCE
HTU	YUNNAN HONGTU AIRLINES CO. LTD.
HTY	GLOBAL AERONAUTICS SOLUTIONS CORP, S.L.
HUA	HUNGARY AIRLINES LTD.
HUB	HUB AIRLINES, INC. (FT. WAYNE, IN)
HUC	AEROLINEAS DE TEHUACAN, S.A. DE C.V.
HUE	HAUTE AVIATION
HUF	HUNGARIAN AIRFORCE
HUN	SOLYOM HUNGARIAN AIRWAYS AIR SERVICE AND TRADING LTD
HUR	MIAMI AIR CHARTER (MIAMI, FL)
HUS	HEUSSLER AIR SERVICE CORP (BUFFALO, NY)
HUT	AEROTRANSPORTES HUITZILIN, S.A. DE C.V.
HUY	AERO TRANSPORTES DEL HUMAYA, S.A. DE C.V.
HVK	TURKISH AIR FORCE
HVN	HANG KHONG VIET NAM
HVY	SKY BUS S.A.C.
HWA	HILLWOOD AIRWAYS LLC
HWD	HPM INVESTMENTS LTD
HWH	HELICOPTER WORLD
HWK	FIREHAWK HELICOPTERS, INC.
HWS	STORM HELIWORKS
HXA	CHINA EXPRESS AIRLINES CO., LTD
HYA	ALHAYA AVIATION
HYC	HYDRO AIR FLIGHT OPERATIONS
HYD	HYDRO QUEBEC
HYJ	HAPPY JET CO., LTD
HYM	HISKY
HYN	SHENZHEN FUNIAN JET AVIATION
HYP	HYPERION AVIATION LTD
HYR	AIRLINK AIRWAYS
HYS	HISKY EUROPE
HYT	YTO CARGO AIRLINES CO., LTD.
HYY	HAYWAYS
HZM	HUZIMA
HZR	LOT POLISH AIRLINES S.A.
HZS	AVIATION HORIZONS LTD.
HZT	AIR HORIZON
HZY	HAINAN LILY JET CO., LTD.
IAA	INAER AVIONES ANFIBIOS, S.A.U.
